,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,flow_es_fr,flow_fr_es,flow_es_pt,flow_pt_es,day_ahead_price
2023-12-31 00:00:00+00:00,247.0,4437.0,280.0,21.0,1229.0,425.0,1009.0,2238.0,7096.0,0.0,76.0,28.0,243.0,5479.0,0.0,2658.79,2366.74,0.0,63.33
2024-01-01 00:00:00+00:00,218.25,3736.2083333333335,262.9583333333333,25.958333333333332,782.7916666666666,2128.4166666666665,874.7083333333334,1780.125,7091.958333333333,0.0,72.08333333333333,2667.9583333333335,243.91666666666666,6834.166666666667,84.65375,2277.159166666667,2801.3020833333335,0.0,35.17875
2024-01-02 00:00:00+00:00,258.0,3228.7083333333335,292.25,36.416666666666664,786.0833333333334,1710.375,889.25,2092.4583333333335,7088.291666666667,2.0416666666666665,74.16666666666667,2027.9583333333333,236.66666666666666,12810.083333333334,4.8687499999999995,1754.9937499999999,2050.9045833333334,13.832083333333332,39.61625
2024-01-03 00:00:00+00:00,288.2083333333333,3757.8333333333335,336.1666666666667,37.708333333333336,808.4583333333334,1304.9583333333333,996.9583333333334,2736.625,7084.625,5.125,76.79166666666667,1442.5833333333333,224.70833333333334,11618.041666666666,0.0,2773.605833333333,2440.6895833333333,0.0,58.56708333333333
2024-01-04 00:00:00+00:00,300.5833333333333,4767.75,331.4583333333333,49.458333333333336,1337.7083333333333,416.5416666666667,1025.6666666666667,4049.1666666666665,7091.666666666667,8.291666666666666,86.83333333333333,1009.2916666666666,253.625,5750.625,0.0,2956.9795833333333,810.4241666666667,530.7929166666667,91.17833333333333
2024-01-05 00:00:00+00:00,301.4583333333333,3365.8333333333335,298.3333333333333,57.541666666666664,655.125,874.0416666666666,1029.4166666666667,2269.375,7091.708333333333,7.791666666666667,86.04166666666667,2532.7083333333335,256.3333333333333,13035.541666666666,2130.82625,212.89291666666668,1634.4504166666666,275.5829166666667,67.21625
2024-01-06 00:00:00+00:00,277.75,3281.2916666666665,280.1666666666667,34.291666666666664,747.5833333333334,1681.875,987.875,2377.7083333333335,7093.416666666667,0.7916666666666666,80.5,3207.125,264.5416666666667,12587.583333333334,2904.5262500000003,0.0,2883.445833333333,0.0,45.28583333333333
2024-01-07 00:00:00+00:00,319.0,3607.7916666666665,298.5833333333333,46.333333333333336,403.0416666666667,998.625,1028.8333333333333,2517.1666666666665,7091.041666666667,3.0833333333333335,78.125,3515.0,271.375,10898.041666666666,2131.6825,307.53416666666664,2802.9516666666664,1.3179166666666666,76.11874999999999
2024-01-08 00:00:00+00:00,355.7083333333333,7912.75,408.2916666666667,51.75,1483.9166666666667,633.375,1065.6666666666667,4089.625,7094.916666666667,3.5416666666666665,80.83333333333333,2640.4583333333335,274.3333333333333,7677.833333333333,628.2787500000001,490.47166666666664,2006.5029166666666,213.38041666666666,106.00708333333334
2024-01-09 00:00:00+00:00,358.125,13194.041666666666,532.6666666666666,54.333333333333336,1705.5416666666667,358.5,1054.0,4956.625,7091.416666666667,5.541666666666667,83.625,1514.5,271.2083333333333,1057.4583333333333,194.32125,752.0,482.61375,279.0529166666667,113.55416666666667
2024-01-10 00:00:00+00:00,370.7083333333333,11308.0,514.5833333333334,61.041666666666664,1413.0416666666667,333.7916666666667,1089.75,4550.416666666667,7092.541666666667,8.791666666666666,82.75,1355.7916666666667,260.1666666666667,3920.1666666666665,880.19125,44.10666666666666,5.64375,1189.91875,100.855
2024-01-11 00:00:00+00:00,344.8333333333333,9894.541666666666,501.375,69.5,1207.375,754.5416666666666,1123.375,4331.041666666667,7093.416666666667,7.0,83.83333333333333,2616.8333333333335,269.0833333333333,5957.125,1234.2879166666667,52.82458333333333,591.4570833333333,465.1525,96.85541666666667
2024-01-12 00:00:00+00:00,380.875,9160.458333333334,502.0416666666667,76.91666666666667,913.25,337.375,1096.5,3622.8333333333335,7092.833333333333,9.5,85.33333333333333,3108.4166666666665,278.5416666666667,5088.416666666667,1278.7054166666667,17.937916666666666,0.0,1583.8604166666667,97.60000000000001
2024-01-13 00:00:00+00:00,418.4583333333333,5577.875,311.25,67.04166666666667,759.5416666666666,335.125,1047.875,4011.2916666666665,7094.666666666667,7.625,80.04166666666667,1801.9583333333333,254.41666666666666,6474.458333333333,1719.3075,10.101666666666667,0.0,1815.2425,87.18791666666668
2024-01-14 00:00:00+00:00,405.875,4009.25,292.7916666666667,65.20833333333333,472.0,800.5416666666666,1116.0833333333333,3066.9166666666665,6469.708333333333,7.625,81.5,1827.4166666666667,234.54166666666666,10936.083333333334,2322.920416666667,10.380416666666667,657.0266666666666,135.82666666666668,74.77541666666667
2024-01-15 00:00:00+00:00,410.4166666666667,5727.666666666667,329.2083333333333,91.125,919.0833333333334,517.4583333333334,1233.7916666666667,3801.2916666666665,6066.083333333333,9.333333333333334,83.95833333333333,902.9583333333334,222.08333333333334,10919.833333333334,1145.94125,350.0229166666666,106.12916666666666,786.015,87.93
2024-01-16 00:00:00+00:00,410.4166666666667,4373.833333333333,310.2083333333333,82.75,465.9166666666667,1324.2083333333333,1296.5416666666667,3199.0,6290.875,9.416666666666666,86.04166666666667,1312.5833333333333,223.41666666666666,13148.083333333334,1831.2716666666665,0.0,8.058333333333334,2092.6208333333334,87.305
2024-01-17 00:00:00+00:00,298.5833333333333,2534.9583333333335,334.6666666666667,32.166666666666664,546.5833333333334,2639.2916666666665,1322.7083333333333,3080.9166666666665,6281.208333333333,11.041666666666666,85.54166666666667,1816.7916666666667,200.83333333333334,17209.916666666668,2117.7995833333334,0.0,6.92625,1075.13375,26.29125
2024-01-18 00:00:00+00:00,324.625,4087.625,332.25,58.25,884.0833333333334,1334.5,1392.1666666666667,3696.0833333333335,6090.083333333333,10.166666666666666,84.75,1790.7916666666667,193.0,12781.208333333334,1483.0904166666667,426.4583333333333,378.01833333333326,581.2175,49.701249999999995
2024-01-19 00:00:00+00:00,383.0416666666667,3966.875,329.2916666666667,65.0,897.9583333333334,813.9166666666666,1367.875,4052.2083333333335,6902.666666666667,10.833333333333334,87.16666666666667,893.9583333333334,186.20833333333334,11910.5,1446.6183333333336,25.083333333333332,27.302916666666665,1344.17875,70.94583333333334
2024-01-20 00:00:00+00:00,390.125,4372.791666666667,298.2916666666667,62.041666666666664,888.7083333333334,1345.0,1324.1666666666667,4401.708333333333,7042.0,11.916666666666666,79.5,3084.2083333333335,201.75,5186.0,656.95375,403.1566666666667,118.59166666666665,703.2983333333333,80.33083333333333
2024-01-21 00:00:00+00:00,371.125,4163.541666666667,267.9166666666667,59.0,525.5416666666666,1573.9166666666667,1151.6666666666667,4502.291666666667,7089.125,11.833333333333334,78.70833333333333,3492.9583333333335,199.0,5263.041666666667,347.345,964.5954166666667,1715.9108333333334,69.30166666666666,63.48208333333333
2024-01-22 00:00:00+00:00,354.8333333333333,4562.916666666667,336.25,77.29166666666667,994.7083333333334,1475.625,1224.7083333333333,4613.416666666667,7087.916666666667,10.125,81.66666666666667,3453.2916666666665,182.20833333333334,8624.0,490.6891666666667,945.3075,1351.4708333333333,183.06041666666667,68.50416666666666
2024-01-23 00:00:00+00:00,379.9166666666667,6470.75,461.125,79.41666666666667,1150.8333333333333,1118.4166666666667,1233.5833333333333,4572.375,7060.791666666667,10.458333333333334,77.375,3932.4583333333335,192.08333333333334,5236.708333333333,435.5154166666667,796.7245833333333,1052.6258333333333,393.5754166666666,79.05666666666666
2024-01-24 00:00:00+00:00,372.7916666666667,6024.041666666667,486.2083333333333,82.04166666666667,1089.4583333333333,993.5416666666666,1200.1666666666667,4309.375,7081.791666666667,13.625,80.75,4097.291666666667,184.91666666666666,3609.4583333333335,0.0,1776.2425,916.785,484.55833333333334,82.54708333333333
2024-01-25 00:00:00+00:00,365.0,6571.041666666667,487.5,67.91666666666667,1477.7916666666667,652.2083333333334,1157.625,4839.625,7080.708333333333,14.416666666666666,84.5,4101.166666666667,192.54166666666666,3407.625,748.9899999999999,989.5783333333334,1183.5958333333333,357.1275,76.73
2024-01-26 00:00:00+00:00,342.875,5518.625,373.0833333333333,69.70833333333333,1567.4583333333333,415.8333333333333,1151.625,4962.083333333333,7085.166666666667,11.041666666666666,90.04166666666667,3771.8333333333335,207.66666666666666,2025.5833333333333,201.61875,1611.85375,560.7570833333333,481.705,72.63125000000001
2024-01-27 00:00:00+00:00,353.9583333333333,4226.416666666667,291.9583333333333,63.083333333333336,835.5,1156.2083333333333,1128.375,3816.625,6822.916666666667,11.041666666666666,82.58333333333333,3741.5416666666665,194.75,3755.875,769.61625,750.8183333333333,269.4529166666667,687.6433333333333,65.94250000000001
2024-01-28 00:00:00+00:00,335.9583333333333,3733.7083333333335,244.0,53.208333333333336,572.2083333333334,1592.4583333333333,1038.6666666666667,3348.8333333333335,6912.875,8.791666666666666,75.125,3332.125,206.70833333333334,6758.375,1337.50875,235.02625,1109.0770833333333,204.98208333333332,51.637499999999996
2024-01-29 00:00:00+00:00,327.0416666666667,5628.583333333333,379.0416666666667,72.45833333333333,1249.2083333333333,339.3333333333333,1054.1666666666667,3843.25,7081.125,15.041666666666666,78.91666666666667,2409.4166666666665,234.0,5501.458333333333,576.4058333333334,809.7066666666666,429.6254166666667,795.00875,78.88291666666667
2024-01-30 00:00:00+00:00,382.4166666666667,6518.833333333333,505.625,75.25,1532.9166666666667,406.25,1022.0416666666666,4761.5,7052.458333333333,16.25,83.875,3242.625,263.3333333333333,2664.5416666666665,511.32166666666666,1177.3270833333333,263.555,726.7429166666667,81.37416666666667
2024-01-31 00:00:00+00:00,415.8333333333333,6705.166666666667,513.0,76.20833333333333,1445.4166666666667,283.875,986.0,4750.125,7077.958333333333,16.416666666666668,83.20833333333333,3764.9583333333335,262.0416666666667,2777.5416666666665,971.1404166666666,698.6887499999999,289.4870833333334,1014.0025,84.05041666666666
2024-02-01 00:00:00+00:00,416.2916666666667,5216.541666666667,431.3333333333333,76.625,1212.0416666666667,766.7083333333334,951.25,4302.416666666667,7084.666666666667,8.875,86.08333333333333,4497.5,259.7083333333333,6539.333333333333,1283.67625,744.6062499999999,1422.5287500000002,418.5079166666667,70.69625
2024-02-02 00:00:00+00:00,433.0416666666667,4264.875,328.0833333333333,66.5,1155.4583333333333,531.125,945.3333333333334,3436.125,7085.375,4.291666666666667,89.04166666666667,4680.75,272.75,8071.416666666667,1515.6825,627.97875,1348.02,246.72166666666666,65.04625
2024-02-03 00:00:00+00:00,433.0416666666667,4093.7916666666665,254.66666666666666,51.958333333333336,922.5416666666666,1385.4166666666667,852.6666666666666,3208.0416666666665,7087.25,4.0,86.58333333333333,4616.166666666667,272.3333333333333,2984.375,207.49208333333334,1998.4037500000002,570.3491666666667,422.2495833333333,60.748333333333335
